Country/Territory,UN Region,IMF,IMF,World Bank,World Bank,United Nations,United Nations
Curaçao,Americas,—,—,"2,496",2020,"2,596",2020
Central African Republic,Africa,"2,488",2022,"2,517",2021,"2,323",2020
East Timor,Asia,"2,455",2022,"1,959",2021,"1,902",2020
Eritrea,Africa,"2,369",2022,"2,065",2011,"2,084",2020
Gambia,Africa,"2,172",2022,"2,078",2021,"1,830",2020
Cape Verde,Africa,"2,053",2022,"1,936",2021,"1,704",2020
Seychelles,Africa,"2,005",2022,"1,320",2021,"1,059",2020
Saint Lucia,Americas,"1,972",2022,"1,765",2021,"1,617",2020
Zanzibar,Africa,—,—,—,—,"1,724",2020
Antigua and Barbuda,Americas,"1,692",2022,"1,471",2021,"1,370",2020
Guinea-Bissau,Africa,"1,624",2022,"1,639",2021,"1,315",2020
San Marino,Europe,"1,623",2022,"1,545",2020,"1,555",2020
Solomon Islands,Oceania,"1,601",2022,"1,645",2021,"1,546",2020
British Virgin Islands,Americas,—,—,—,—,"1,492",2020
Comoros,Africa,"1,242",2022,"1,328",2021,"1,235",2020
Grenada,Americas,"1,192",2022,"1,122",2021,"1,043",2020
Northern Mariana Islands,Oceania,—,—,"1,182",2019,—,—
Saint Kitts and Nevis,Americas,"1,115",2022,976,2021,927,2020
Vanuatu,Oceania,984,2022,984,2021,855,2020
Saint Vincent and the Grenadines,Americas,948,2022,890,2021,810,2020
Turks and Caicos Islands,Americas,—,—,943,2021,925,2020
Sint Maarten,Americas,—,—,"1,186",2018,857,2020
Samoa,Oceania,830,2022,788,2021,772,2020
American Samoa,Oceania,—,—,709,2020,—,—
Dominica,Americas,599,2022,546,2021,507,2020
São Tomé and Príncipe,Africa,506,2022,547,2021,476,2020
Tonga,Oceania,501,2022,489,2020,491,2020
Micronesia,Oceania,428,2022,404,2021,403,2020
Cook Islands,Oceania,—,—,—,—,283,2020
Marshall Islands,Oceania,271,2022,249,2021,244,2020
Anguilla,Americas,—,—,—,—,258,2020
Palau,Oceania,226,2022,258,2020,264,2020
Kiribati,Oceania,207,2022,181,2020,181,2020
Nauru,Oceania,134,2022,133,2021,135,2020
Montserrat,Americas,—,—,—,—,68,2020
Tuvalu,Oceania,64,2022,63,2021,55,2020
