City/Town,Country/Territory,Notes
Jerusalem,Israel,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Most countries currently maintain their embassies in and around Tel Aviv. The United States recognized Jerusalem as the capital and moved its embassy there in May 2018.  Many countries officially adhere to the proposal that Jerusalem have international status, as called for in the 1947 Partition Plan."
Jerusalem,Palestine (claimed),"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Most countries currently maintain their embassies in and around Tel Aviv. The United States recognized Jerusalem as the capital and moved its embassy there in May 2018.  Many countries officially adhere to the proposal that Jerusalem have international status, as called for in the 1947 Partition Plan."
Ramallah (de facto),Palestine (claimed),"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Most countries currently maintain their embassies in and around Tel Aviv. The United States recognized Jerusalem as the capital and moved its embassy there in May 2018.  Many countries officially adhere to the proposal that Jerusalem have international status, as called for in the 1947 Partition Plan."
Juba,South Sudan,
Kabul,Afghanistan,
Kampala,Uganda,
Kathmandu,Nepal,
Khartoum,Sudan,
Kigali,Rwanda,
King Edward Point,South Georgia and the South Sandwich Islands,British Overseas Territory.
Kingston,Jamaica,
Kingston,Norfolk Island,External territory of Australia.
Kingstown,Saint Vincent and the Grenadines,
Kinshasa,Democratic Republic of the Congo,
"Kuala Lumpur (official, legislative and royal)",Malaysia,
Putrajaya (administrative and judicial),Malaysia,
Kuwait City,Kuwait,
Kyiv,Ukraine,
La Paz (administrative),Bolivia,"La Paz is the highest administrative capital (3,650 m) in the world, higher than Quito."
Sucre (constitutional),Bolivia,
Laâyoune (declared),Western Sahara,"The Sahrawi Republic, recognized by 82 states, claims the mostly Moroccan-controlled Western Sahara. Moroccan-controlled territory includes Laâyoune, and Morocco claims all Sahrawi-controlled territory. Tifariti is now the temporary capital (instead of Bir Lehlou earlier) of the SADR. Some government and military structures reside in exile in Tindouf, Algeria. See Also: Politics of the Sahrawi Arab Democratic Republic."
Tifariti (de facto),Western Sahara,"The Sahrawi Republic, recognized by 82 states, claims the mostly Moroccan-controlled Western Sahara. Moroccan-controlled territory includes Laâyoune, and Morocco claims all Sahrawi-controlled territory. Tifariti is now the temporary capital (instead of Bir Lehlou earlier) of the SADR. Some government and military structures reside in exile in Tindouf, Algeria. See Also: Politics of the Sahrawi Arab Democratic Republic."
Libreville,Gabon,
Lilongwe,Malawi,
Lima,Peru,"Cusco is declared the ""Historical Capital"" (Spanish: Capital Historica), a merely symbolic statement, by Article 49 of the Peruvian Constitution. Arequipa is dubbed the ""Legal Capital"" of Peru for being the seat of the Constitutional Court."
Lisbon,Portugal,
Ljubljana,Slovenia,
Lobamba (royal and legislative),Eswatini,
Mbabane (administrative),Eswatini,
Lomé,Togo,
London,United Kingdom,"Prior to the Acts of Union in 1707, London was the capital of England only; Edinburgh was the capital of the Kingdom of Scotland.
Sub-divisions of  England,  Scotland,  Wales,  Northern Ireland."
Luanda,Angola,
Lusaka,Zambia,
Luxembourg,Luxembourg,
Madrid,Spain,
Majuro,Marshall Islands,"Self-governing in free association with the United States. The seat of government is at Delpa-Uliga-Djarrit, a settlement on the attoll of Majuro."
Malabo,Equatorial Guinea,Ciudad de la Paz is currently under construction and will become the new capital when complete.
Malé,Maldives,
Managua,Nicaragua,
Manama,Bahrain,
Manila,Philippines,
Maputo,Mozambique,
Mariehamn,Åland Islands,Autonomous province of Finland.
Marigot,Saint Martin,Overseas collectivity of France.
Maseru,Lesotho,
Mata Utu,Wallis and Futuna,Overseas collectivity of France.
Mexico City,Mexico,
Minsk,Belarus,
Mogadishu,Somalia,
Monaco,Monaco,"City-state. The Principality of Monaco does not have an official capital designated in its constitution, however, the Commune of Monaco, the country's only commune, is coterminous with the nation, making it the de facto capital."
Monrovia,Liberia,
Montevideo,Uruguay,
Moroni,Comoros,
Moscow,Russia,
Muscat,Oman,
Nairobi,Kenya,
Nassau,Bahamas,
Naypyidaw,Myanmar,Yangon was the capital until 2006. See also: List of capitals of Myanmar
N'Djamena,Chad,
New Delhi,India,Kolkata was the capital of India until 1911 during the British Raj.
Ngerulmud,Palau,Self-governing in free association with the United States. Koror was the capital of Palau until 2006.
Niamey,Niger,
Nicosia,"Cyprus
 Northern Cyprus",See also: List of divided cities[clarification needed]
Nouakchott,Mauritania,
Nouméa,New Caledonia,Overseas territory of France.
Nukuʻalofa,Tonga,
Nuuk,Greenland,Self-governing country within the Kingdom of Denmark.
Oranjestad,Aruba,Self-governing country within the Kingdom of the Netherlands.
Oslo,Norway,See also: List of historical capitals of Norway
Ottawa,Canada,
Ouagadougou,Burkina Faso,
Pago Pago,American Samoa,Territory of the United States.
Palikir,Micronesia,"Self-governing in free association with the United States. Kolonia is the former capital; and Australia, China, Japan and the United States retain embassies there.
Sub-divisions of  Yap,  Chuuk,  Pohnpei,  Kosrae."
Panama City,Panama,
Papeete,French Polynesia,Overseas collectivity of France.
Paramaribo,Suriname,
Paris,France,See also: List of Capitals of France
Philipsburg,Sint Maarten,Self-governing country within the Kingdom of the Netherlands.
Phnom Penh,Cambodia,
Port Louis,Mauritius,
Port Moresby,Papua New Guinea,
Port of Spain,Trinidad and Tobago,
Port Vila,Vanuatu,
Port-au-Prince,Haiti,
"Prague (official, legislative and executive)",Czech Republic,
Brno (judiciary),Czech Republic,
Praia,Cape Verde,
Pristina,Kosovo,"De facto independent state that is recognized by 114 UN member states and by Taiwan. Claimed in whole by the Republic of Serbia as part of its Autonomous Province of Kosovo and Metohija. The Republic of Kosovo has de facto control over most of the territory, with limited control in North Kosovo."
Pyongyang,North Korea,
Quito,Ecuador,"Highest official capital (2,850 m)."
Rabat,Morocco,
Reykjavík,Iceland,
Riga,Latvia,
Riyadh,Saudi Arabia,
Road Town,British Virgin Islands,British Overseas Territory.
Rome,Italy,
Roseau,Dominica,
Rothera,British Antarctic Territory,British Overseas Territory.
Saipan,Northern Mariana Islands,"Territory of the United States. The seat of government is at Capitol Hill, a settlement on the island of Saipan."
San José,Costa Rica,
San Juan,Puerto Rico,Territory of the United States.
San Marino,San Marino,
San Salvador,El Salvador,
Santiago (official),Chile,
Valparaíso (legislative),Chile,The National Congress of Chile is located in Valparaíso.
Santo Domingo,Dominican Republic,
São Tomé,São Tomé and Príncipe,
Sarajevo,Bosnia and Herzegovina,
Seoul,South Korea,
Sejong City (de facto),South Korea,On 2 July 2012 some functions of government moved to Sejong and it became the de facto administrative capital of South Korea.
Singapore,Singapore,City-state.
Skopje,North Macedonia,
Sofia,Bulgaria,
South Tarawa,Kiribati,South Tarawa is a settlement on the atoll of Tarawa.
St. George's,Grenada,
St. Helier,Jersey,British Crown Dependency.
St. John's (de facto),Antigua and Barbuda,Antigua and Barbuda has no official capital.
St. Peter Port,Guernsey,British Crown Dependency.
St. Pierre,Saint Pierre and Miquelon,Overseas collectivity of France.
Stanley,Falkland Islands,British Overseas Territory.
Stepanakert,Artsakh,"The self-declared country remains diplomatically unrecognized by UN-member states, including Armenia. Transnistria, South Ossetia, and Abkhazia all recognize the state. Claimed in whole by Azerbaijan."
Stockholm,Sweden,
Sukhumi,Abkhazia,"De facto independent state recognized by Russia, Nauru, Nicaragua, Venezuela, South Ossetia and Transnistria. Claimed in whole by the Republic of Georgia as the Autonomous Republic of Abkhazia."
Suva,Fiji,
Taipei,Taiwan,"Officially the Republic of China (ROC), it has been competing for recognition with the People's Republic of China (PRC) as the sole Chinese government since 1949. Taiwan controls the island of Taiwan and its associated islands, Quemoy, Matsu, the Pratas, and part of the Spratly Islands. Its territory is claimed in whole by the People's Republic of China. The Republic of China participates in the World Health Organization and a number of non-UN international organizations such as the World Trade Organization, the International Olympic Committee and others under a variety of pseudonyms, most commonly Chinese Taipei."
Tallinn,Estonia,
Tashkent,Uzbekistan,
Tbilisi,Georgia,
Tegucigalpa,Honduras,Comayaguela is declared in the Honduran Constitution as co-official capital with Tegucigalpa. Now they have merged into a single Metropolitan Area.
Tehran,Iran,
Thimphu,Bhutan,
Tirana,Albania,
Tiraspol,Transnistria,"De facto independent state, not recognized by any UN-member, but by Abkhazia and South Ossetia. Claimed in whole by the Republic of Moldova as the Territorial Unit of Transnistria."
Tokyo,Japan,See also: Capital of Japan
Tórshavn,Faroe Islands,Self-governing country within the Kingdom of Denmark.
Tripoli,Libya,
Tskhinvali,South Ossetia,"De facto independent state recognised by Russia, Nicaragua, Nauru, Venezuela, Abkhazia and Transnistria. Claimed in whole by the Republic of Georgia as the Provisional Administrative Entity of South Ossetia."
Tunis,Tunisia,
Ulaanbaatar,Mongolia,
Vaduz,Liechtenstein,
Valletta,Malta,
The Valley,Anguilla,British Overseas Territory.
Vatican City,Vatican City,City-state.
Victoria,Seychelles,
Vienna,Austria,
Vientiane,Laos,
Vilnius,Lithuania,
Warsaw,Poland,
"Washington, D.C.",United States,The capital of the United States has moved multiple times. See also: National capitals of the United States
Wellington,New Zealand,Since 1865. Wellington is New Zealand's third capital. See also: Capital of New Zealand.
West Island,Cocos (Keeling) Islands,External territory of Australia.
Willemstad,Curaçao,Self-governing country within the Kingdom of the Netherlands.
Windhoek,Namibia,
Yaoundé,Cameroon,
Yaren (de facto),Nauru,"Nauru has no official capital; however, the government offices are in Yaren."
Yerevan,Armenia,
Zagreb,Croatia,
